id,default,loan_amount,mortgage_amount,property_value,loan_reason,occupation,occupation_length,derogatory_reports,late_payments,oldest_credit_line,recent_credit,credit_number,ratio
15169,0,5700,28127,36524,HomeImp,ProfExe,10,0,0,181.2829568,0,13,24.33953357
15807,0,13000,15374,59309,HomeImp,Other,6,2,0,355.1312291,1,21,15.82361555
16082,0,9400,57105,67061,HomeImp,Other,6,0,0,129.5084838,0,34,35.73459276
13607,1,14500,69115,98900,DebtCon,Other,18,0,0,177.8666667,,11,
13194,0,19200,96401,115545,DebtCon,ProfExe,7,0,0,128.7145138,1,20,22.18728999
14523,1,11300,29000,59900,HomeImp,Mgr,3,1,0,91.63333333,4,11,
12626,1,7300,58671,87975,HomeImp,Mgr,3,0,0,74.06666667,1,16,
13269,0,25300,46780,62536,DebtCon,Office,18,0,0,189.1366883,0,22,30.74672437
12121,0,19000,43479,78631,DebtCon,Other,1,,1,301.4036915,1,10,38.25309687
15660,0,20700,48134,78954,,,,,,,,,37.76048242
15559,0,23500,95289,122273,HomeImp,Mgr,9,0,0,118.6161343,1,23,30.44727454
13130,0,10400,39821,54040,HomeImp,Mgr,21,1,0,231.6054114,1,18,36.43973673
14529,0,16100,76644,103192,DebtCon,Other,5,2,0,76.07793545,0,20,24.18793386
15877,0,11300,56651,71353,HomeImp,Other,29,1,2,176.9129878,1,24,38.54444186
14046,0,26500,,38964,DebtCon,Other,11,1,,102.7529024,,14,20.35358208
16571,1,5500,37368,48502,HomeImp,Mgr,9,0,2,48.995845,0,10,33.12648397
11455,0,12700,29471,48362,HomeImp,Other,9,0,0,79.90287141,0,4,36.0206079
16220,0,25500,,43031,DebtCon,Other,,,,89.16926731,,13,28.86528212
12198,0,15100,81298,108947,DebtCon,ProfExe,9,0,0,194.4434656,1,35,42.24594074
12841,1,15500,38900,60500,DebtCon,Other,8,7,4,95.9,2,53,
16772,0,15000,50000,90000,DebtCon,ProfExe,5.5,0,0,130.8666667,2,22,
11193,0,22800,,57761,DebtCon,Other,,0,0,310.4829388,0,18,38.50570506
12518,0,27700,120070,153652,DebtCon,Office,4,,,300.1680612,2,35,43.92019123
12603,0,11100,53232,86703,HomeImp,Other,16,0,0,183.2062075,0,29,26.87488997
16632,0,16200,62783,94394,DebtCon,Office,1,0,0,167.429347,0,25,23.69115685
16845,0,10100,55559,89231,HomeImp,Other,16,1,0,175.5555713,0,29,26.900321
11371,1,13800,65178,79000,DebtCon,Office,11,0,3,111.6,1,23,
11170,0,18400,63569,95729,HomeImp,ProfExe,23,0,0,237.2759487,0,23,38.41536702
13122,0,7900,,35422,HomeImp,Office,19,0,0,184.3900292,0,15,37.83671487
16795,0,26900,72848,101736,DebtCon,Office,10,0,0,131.4096343,0,21,36.36902746
13243,0,26200,105096,136580,DebtCon,Mgr,9,2,0,181.3585917,4,17,39.18736161
14939,0,8500,49266,64461,DebtCon,Other,22,0,0,264.4080231,3,29,37.97675792
13812,0,13000,60719,73677,,Other,11,0,0,256.7103553,0,26,27.31010697
12872,0,14200,64235,76965,DebtCon,,9,,,,,,24.83595792
15376,0,23500,44952,70191,DebtCon,Office,6,0,0,164.9639399,1,26,35.78815771
12895,0,8500,47777,78979,HomeImp,Other,18,0,0,202.9542765,1,16,34.8286475
11504,0,42800,6929,67573,HomeImp,Office,,0,0,299.3808919,0,19,14.04201152
14415,1,10000,,,HomeImp,Other,,,,,,,
12666,0,4900,65873,90408,,Mgr,2,0,0,141.858999,0,23,37.76961861
12469,0,27200,145725,179197,DebtCon,Other,1,0,0,183.3762884,0,34,40.28747992
16638,0,27300,127260,212953,DebtCon,ProfExe,9,0,0,244.1654213,3,26,21.24119477
15066,0,11000,108095,137000,DebtCon,ProfExe,3,0,0,277,1,46,
11589,0,19100,129111,197592,HomeImp,ProfExe,12,0,0,207.1551738,0,21,36.14177784
15525,0,25200,51789,75569,DebtCon,Other,25,,1,281.9286846,1,30,40.87461909
14400,0,13700,74015,113766,DebtCon,Other,7,0,0,75.89241528,2,14,36.39536633
15326,1,14200,100663,122021,DebtCon,ProfExe,0,0,0,139.9839767,0,20,43.79745956
15775,0,14800,16448,38774,DebtCon,Office,7,0,0,91.00553985,0,16,19.24035126
12974,0,10200,70882,98154,DebtCon,Other,16,,,153.1181363,3,15,25.1199559
12336,0,18800,96272,163250,DebtCon,Mgr,2,0,0,204.4925859,1,19,37.86835539
13348,0,15000,89126,118300,DebtCon,Office,0.4,,3,263.1666667,1,30,
11486,0,16100,26276,168105,HomeImp,Self,7,0,0,336.1984645,0,26,25.99181995
16001,0,11700,47072,85090,HomeImp,Other,18,0,0,192.2531823,0,16,35.06486468
16264,0,3900,102143,118742,HomeImp,Office,2,0,0,85.27736558,0,13,29.34392109
11920,0,21600,94477,135936,DebtCon,ProfExe,,0,0,205.0168354,0,20,26.80094617
14417,1,41700,,854114,HomeImp,Other,18,0,0,189.0993782,1,23,43.25877898
12987,1,25400,136322,,DebtCon,ProfExe,2,0,5,303.7379347,1,27,16.6446745
13148,0,28200,58232,97555,DebtCon,Other,17,0,1,130.4507649,0,29,38.0927303
13267,0,11800,32257,59515,DebtCon,Office,23,0,0,231.5999445,0,29,25.70127642
13574,0,34500,109000,159500,DebtCon,Other,,0,0,250.6333333,3,14,
15959,0,13600,90519,110885,DebtCon,Other,12,0,0,201.8355908,3,16,39.66605441
16952,0,27500,132000,179000,DebtCon,ProfExe,1,1,0,226.2333333,2,19,
12192,0,23700,,46665,DebtCon,Other,,,,85.1283538,,12,24.99135942
13852,0,17600,39063,54561,DebtCon,Other,17,0,0,107.9438175,1,17,38.91921033
11355,1,5900,25972,41856,DebtCon,Other,2,0,2,157.9600114,3,27,40.62827817
13788,0,26000,81764,118388,DebtCon,ProfExe,9,0,0,130.1924181,0,18,28.15413466
16037,0,22600,,55376,DebtCon,Other,,0,1,316.0968745,0,18,38.13586689
15960,0,23500,55731,89079,DebtCon,Mgr,4,0,0,273.6743799,1,25,33.50940904
14972,0,24100,77435,113000,DebtCon,ProfExe,10,0,1,124.7666667,0,19,
11247,1,2900,78600,113000,DebtCon,ProfExe,6,1,0,165.3333333,2,26,
16418,0,26700,23361,55483,DebtCon,Other,36,0,0,280.8076057,1,23,39.89165429
16011,0,16200,105502,117705,DebtCon,Other,0,0,0,125.2425886,2,21,38.81066171
16278,0,37500,127000,190900,DebtCon,Mgr,,1,0,181.6333333,0,25,
15641,0,8000,61565,87624,DebtCon,ProfExe,14,0,0,203.9971364,0,17,23.56256501
13162,0,26100,,35271,DebtCon,Other,9,0,,96.52831616,,14,23.31865001
14254,1,17200,74402,,DebtCon,ProfExe,13,0,1,115.3530306,4,34,41.35903633
14485,0,15500,20800,173566,HomeImp,Self,6,0,0,292.0341855,0,26,25.56288193
15534,0,19400,71515,100771,DebtCon,Other,,1,1,223.1710844,2,13,40.7050437
15173,0,9300,30204,57036,,Other,30,0,0,235.492813,0,19,23.13784056
12005,0,21000,64100,85100,DebtCon,Other,3.5,0,0,97.63333333,2,30,
11469,1,13700,74147,92427,DebtCon,Other,7,0,3,181.3057998,0,33,39.27246634
13546,0,9800,54681,74097,DebtCon,Other,2,0,1,106.8888937,3,18,36.61866086
12131,0,28800,132019,168828,DebtCon,Mgr,0,0,0,231.286134,1,24,35.49030567
16087,0,18900,39727,68477,DebtCon,Office,11,0,2,134.2798423,0,22,40.42119971
11637,1,16000,20000,60000,HomeImp,Other,11,0,0,51.03333333,0,9,
12948,0,11000,63847,86500,HomeImp,Office,26,0,0,170.4333333,2,14,
12391,0,9400,86539,95010,DebtCon,Other,0,4,0,,0,3,29.81532359
14984,1,30000,,50000,HomeImp,Office,4,0,1,118.6666667,1,15,
13004,0,19900,128219,162012,DebtCon,Office,1,,0,374.0237669,,52,37.88816696
15937,0,15300,101000,112500,DebtCon,Other,1,0,0,129.8666667,2,21,
14780,1,5000,40000,70500,HomeImp,Mgr,0.4,0,0,61.76666667,2,8,
13482,0,8700,51033,58513,DebtCon,Office,2,0,0,181.8697515,0,20,37.87927833
16427,1,14000,67881,93390,DebtCon,,,,,,,,
12907,0,30300,109859,153240,DebtCon,ProfExe,10,0,0,172.6879798,0,17,34.54949648
14979,0,16700,51310,76704,DebtCon,Other,2,,2,271.6519477,0,10,37.63005716
14138,1,13000,47000,60000,HomeImp,Self,1,0,0,,3,12,
15094,0,17900,63559,81536,HomeImp,ProfExe,13,0,3,176.8707685,0,13,26.18976709
11149,0,27900,69589,115061,DebtCon,Other,5,0,0,97.8638453,1,32,41.47397173
11311,0,17100,117337,131575,DebtCon,,16,0,0,177.6294323,0,17,39.17643246
14222,0,40800,127034,198587,DebtCon,Mgr,,1,0,186.5429439,0,25,35.40002128
16035,0,18900,55238,112776,DebtCon,ProfExe,16,0,0,251.5493924,0,19,25.7694999
12883,0,37600,141000,200300,HomeImp,ProfExe,5,0,0,145.6333333,0,31,
15837,1,1800,28502,43034,HomeImp,Other,11,0,0,88.76602988,0,8,36.88489409
16605,0,12300,159798,177853,DebtCon,ProfExe,6,,0,206.8170726,4,25,41.42504139
16919,0,42900,8117,66731,HomeImp,Office,,0,0,315.2548189,0,19,13.31235591
12358,0,9000,56162,75526,HomeImp,Other,6,0,0,127.7869696,0,15,35.73405682
13112,0,30000,15214,38094,DebtCon,Other,26,0,0,199.4697909,0,15,39.5498738
11225,0,8800,101717,122299,HomeImp,Other,11,,,402.7404817,1,49,38.42142758
15120,0,10600,81151,200459,HomeImp,Self,14,0,0,9.53414271,,7,21.22321399
13361,1,42000,65889,125000,HomeImp,Other,10,0,0,102.5,1,13,
14636,1,50000,220528,300900,HomeImp,Self,5,0,0,0,0,2,
13582,0,8000,,34226,HomeImp,Other,,,1,75.36666667,1,10,
16586,0,18500,42683,68000,DebtCon,Office,3,0,0,229.3,0,12,
11813,0,8000,63700,79754,DebtCon,,3.8,0,0,208,0,16,
15968,0,14600,54040,66442,DebtCon,Other,6,0,0,237.5992543,0,18,34.88343531
15200,1,2400,34863,47471,HomeImp,Mgr,12,0,0,70.49108003,1,21,38.26360073
16886,0,20500,67852,97944,HomeImp,Office,14,0,0,141.0053448,0,14,36.6093894
16487,0,11000,77723,107245,HomeImp,ProfExe,5,0,0,115.5585296,0,26,26.91192966
15506,0,13500,82036,104261,HomeImp,ProfExe,4,0,1,98.41775325,0,33,39.2941028
15397,0,36300,35072,74829,DebtCon,ProfExe,4,1,0,195.5596417,2,18,23.01985524
13319,0,26400,128413,207302,DebtCon,ProfExe,9,0,0,228.0151316,3,26,17.87219518
15418,0,16400,71264,94726,DebtCon,Other,1,0,0,177.2573424,1,31,35.03448136
13211,0,11000,76958,88607,DebtCon,ProfExe,9,0,0,175.4118267,0,12,39.21677518
11583,0,25500,79689,117577,DebtCon,ProfExe,9,0,0,114.9684987,0,19,26.48488637
16062,0,17400,123579,168243,DebtCon,Office,4,0,0,146.3520808,0,20,26.6035115
14573,0,16500,42317,66966,HomeImp,ProfExe,3,0,0,206.2383892,3,17,35.00637947
14092,0,26300,,45913,DebtCon,Other,,,,92.57722408,,13,27.92400089
13688,0,16700,62933,91790,DebtCon,Other,2,0,0,185.3724624,0,31,35.25727149
14195,0,18400,83548,111626,DebtCon,ProfExe,9,0,0,163.8543934,3,17,37.07811779
13410,0,15600,47537,66581,DebtCon,Other,7,0,1,116.6148587,3,48,30.37280108
12267,0,8100,81322,97823,DebtCon,ProfExe,3,0,0,118.468506,0,25,32.71677759
12554,0,14700,30306,44195,HomeImp,Other,9,0,1,87.43122628,2,12,29.40493516
16294,1,8400,37256,45956,DebtCon,Other,1,0,0,214.44323,1,6,31.24524851
13300,0,10400,66044,83531,HomeImp,Office,12,0,0,241.5141532,0,31,45.56984265
14072,0,11700,64278,76055,,Other,12,0,0,245.2951629,0,26,28.43996584
12307,0,16400,89858,105796,DebtCon,Office,29,,1,340.7116751,2,49,36.00391594
14061,0,10800,64181,70996,DebtCon,Other,4,0,0,171.759579,2,17,33.22779359
15988,0,17000,31772,60289,HomeImp,ProfExe,6,0,0,189.2369837,0,13,31.12574653
13109,0,9300,,57650,HomeImp,Other,11,1,0,308.3394397,2,13,31.55383541
14657,0,10900,59029,76120,DebtCon,Other,2,0,0,231.7341444,0,10,36.02568383
16932,1,8000,33689.3,48000,DebtCon,Other,3,0,0,103.7333333,0,13,
11581,0,26700,144243,176096,DebtCon,Other,1,0,0,194.6797961,0,34,40.47924358
15408,0,52400,27234,83482,HomeImp,Other,2,2,0,250.6140239,6,14,40.54824598
12805,0,16300,67524,85577,DebtCon,Other,8,0,0,75.43432799,3,11,31.76182878
11728,0,17300,20798,37980,,Office,2,0,0,219.3093648,0,16,37.76321101
11484,0,16100,45973,64430,HomeImp,Office,3,0,0,117.0737532,0,17,33.8247164
15192,0,25000,57459,96000,DebtCon,Other,16,0,1,133.7666667,0,30,
16620,0,12000,76674,97936,DebtCon,Mgr,5,0,0,147.9142027,2,27,41.22576316
14842,1,8500,48961,73550,HomeImp,Other,11,6,1,145.1,4,11,
15460,0,7400,32832,50798,DebtCon,Other,10,0,0,221.3384208,1,31,36.00942149
11091,0,24500,52000,84915,DebtCon,Office,0.4,0,1,93.16666667,0,23,
14948,0,50100,35910,64042,DebtCon,Office,4,0,,187.3935802,1,16,30.42924664
15948,0,13000,61612,99132,HomeImp,ProfExe,8,0,0,262.7333333,1,12,
14647,0,16500,97010,128101,DebtCon,Mgr,9,,,250.681862,2,41,36.93333116
11857,0,8700,43759,50070,HomeImp,Mgr,19,1,1,218.9062534,0,17,34.0581468
12827,0,20600,35530,105838,HomeImp,Other,7,0,0,106.162918,0,15,32.09386652
14295,0,22700,36253,88461,HomeImp,Other,24,0,0,255.0887578,0,7,26.86761738
16351,0,11100,,50262,HomeImp,Mgr,5,,,175.7568875,,8,22.95686376
11643,1,11000,85474,118125,HomeImp,Office,2.5,2,0,132.9333333,1,9,
15356,0,17200,35116,60489,DebtCon,Other,17,0,0,106.486237,1,18,38.80624071
16889,0,12900,105638,112608,DebtCon,Other,17,0,2,208.3068822,2,16,39.67790581
12693,0,21000,90267,134000,HomeImp,ProfExe,7,0,0,160.9,0,32,
14410,0,23600,136607,172414,DebtCon,Other,6,0,0,226.0402946,0,20,36.97693039
12218,0,24300,42276,68775,DebtCon,Other,24,0,0,309.6835856,2,31,32.74650689
12069,0,13700,81378,108628,HomeImp,ProfExe,12,0,2,181.7225343,0,27,32.65202263
11101,0,20300,153896,200279,DebtCon,Other,7,0,0,,2,16,29.07518765
14003,1,30000,176000,240000,DebtCon,ProfExe,1,1,0,198.8666667,2,13,
13011,0,22100,45993,67208,DebtCon,Other,8,0,1,60.45700477,2,18,34.78092033
15263,0,24200,242111,266670,HomeImp,Self,6,1,0,243.0031287,3,51,36.57538774
15841,0,15100,39679,62674,DebtCon,,5,1,0,95.59910085,1,9,28.50559056
14066,1,21500,84048,115705,DebtCon,ProfExe,10,,1,122.2897915,1,30,49.37972914
15496,0,14700,77565,101320,HomeImp,ProfExe,6,0,0,120.8273719,0,26,25.27620451
14392,0,16900,68940,88264,DebtCon,Office,0,0,0,166.1062815,0,25,24.95531142
14025,0,63900,62200,140030,HomeImp,Office,10,0,1,126.8,0,12,
13689,0,14700,89448,115380,DebtCon,Office,11,0,0,222.8150889,0,12,40.52479687
11621,0,50800,,86207,HomeImp,Self,9,0,0,167.8236105,0,21,26.65051224
15327,0,8700,52388,64332,HomeImp,Other,1,0,,91.11206084,,12,36.87492751
16784,0,21200,23088,56535,DebtCon,Other,27,0,1,216.1560174,0,24,27.39523388
11699,1,6100,62751,95617,HomeImp,Other,1,0,0,138.6468632,1,13,31.75727069
16732,0,15000,62000,94575,HomeImp,ProfExe,23,0,0,238.4,1,24,
16387,1,17000,87600,110000,DebtCon,Other,0.4,6,0,180.5666667,2,46,
14548,0,22100,57018,80673,DebtCon,Other,12,0,0,108.7492561,1,10,7.39014306
15871,1,25000,39000,72500,DebtCon,Other,3,0,1,114.6666667,3,22,
15461,0,14700,,,,,,,,,,,24.59537785
16184,0,25200,94712,127247,DebtCon,Office,8,0,0,166.82201,0,30,39.02592642
15337,0,17000,125257,161009,DebtCon,Office,3,0,0,129.7577996,1,21,27.6372066
11379,0,31100,73386,108864,HomeImp,Other,5,,,119.5395184,10,21,42.82660083
15983,0,8200,75870,97922,DebtCon,ProfExe,0,,,,,,27.27636492
16371,1,10000,46946,65000,HomeImp,Office,7.2,0,1,80.1,1,12,
14362,0,59200,43877,74768,DebtCon,Other,5,0,0,102.5503172,0,21,31.30426743
11611,0,7200,,38061,HomeImp,Other,,,,299.7527261,,12,31.88003318
15758,0,14000,92583,114379,DebtCon,Other,10,0,0,169.4483417,0,27,34.1307686
14103,0,26000,119553,158687,DebtCon,Mgr,5,0,0,290.7585045,0,24,36.9775189
15906,1,29500,118000,169900,DebtCon,Mgr,8,0,0,138.9666667,1,23,
11620,0,16000,77067,94613,DebtCon,Other,5,0,0,207.4133904,3,18,41.05898907
11347,1,2400,28000,40800,HomeImp,Mgr,12,0,0,67.2,2,22,
15275,0,8800,56963,70607,HomeImp,Other,4,0,0,99.76441458,3,19,40.34526073
14535,0,24200,49798,67458,DebtCon,Other,6,0,0,68.93111022,2,18,36.46436586
15808,1,50000,160000,235000,DebtCon,ProfExe,0.3,0,0,184.7,0,41,
14419,0,18900,69325,102438,DebtCon,Other,,2,1,222.6522749,2,13,43.5240978
14059,0,11400,,38246,HomeImp,Other,,,0,88.88697534,0,10,37.65838877
15547,1,16000,69322,106189,HomeImp,ProfExe,2,1,1,238.4,0,31,
16101,1,15000,71269,97500,DebtCon,Other,9,0,0,118.1666667,1,19,
16441,0,11700,40266,59097,DebtCon,Other,,0,0,74.9980986,0,15,39.49702872
14369,0,13600,,35396,DebtCon,Other,11,,,101.7935233,1,8,32.66950311
16760,0,24500,62490,97467,DebtCon,Other,14,0,0,96.97267872,1,17,34.97565503
13069,1,13400,111000,131000,DebtCon,ProfExe,14,0,0,165.3333333,2,26,
16028,0,13300,66502,78138,DebtCon,Other,4,0,0,178.1121065,1,16,33.79509124
16860,0,25000,83624,116976,DebtCon,ProfExe,9,0,0,129.5495932,0,19,29.42773368
15703,0,25000,84000,120000,DebtCon,Other,1.5,0,0,188.7682131,2,25,
16251,1,12200,53242,70400,DebtCon,Other,14,0,0,169.9306635,0,18,34.62942766
16720,0,12600,83921,90876,DebtCon,Other,3,0,0,106.9373967,1,32,41.47300108
11168,0,24900,17139,33269,DebtCon,Other,16,3,0,124.1968265,1,18,26.27583242
15183,1,18700,70562,91223,DebtCon,Other,27,0,2,112.7103681,4,35,64.2724769
12607,0,10300,56127,72294,HomeImp,Other,28,1,3,184.3457508,0,24,34.63423561
16073,1,8200,87979,94854,HomeImp,ProfExe,10,0,0,108.4790238,3,19,41.2706826
12705,0,7000,81335,81018,HomeImp,Other,22,0,0,341.610576,1,47,27.76729977
16608,0,31400,12617,36082,DebtCon,Other,30,0,0,205.4598874,0,15,41.97900067
12935,1,7500,80440,72920,HomeImp,Mgr,8,0,1,201.5,0,24,
15984,0,52000,,85298,HomeImp,Self,10,0,0,178.5784823,1,21,25.51396564
15018,0,7700,20887,26958,DebtCon,Other,0,0,0,17.4607499,10,6,30.23350474
13645,0,13300,74609,115056,DebtCon,Other,6,0,0,77.4451063,2,14,36.86921264
